TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,13,1,11301001,FHM 60,SET
ACC PINTU,FLOOR HINGE,OMGE,11301002,FHM 84 (#3),SET
,,,11301003,HYDRAULIC PATCH HPM SND 150W US32D,SET
