TYPE,,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
,,,,,,
,,21,1,22101001,902-3C,BH
,,ELECTRIK LOCK,POWER,22101002,902-3X,BH
,,,SUPLAY,,,
,,,,,,
,,,2,22102001,UP 220,BH
,,,BRACKET,22102002,DOWN 220,BH
,,,,22102003,DOWN 235,BH
,,,,,,
,,,3,22103001,2645 MILKY,BH
,,,KEYPAD,22103002,2645 HDS DARK,BH
,,,,,,
,,,4,22104001,ALBION MC 300 L,BH
,,,MAGNETIC,,,
,,,LOCK,,,
,,,,,,
,,,5,22105001,EC 220 H,BH
,,,ELECTRIK,22105002,EC 235 H,BH
,,,BOLT,,,
,,,,,,
,,,6,22106001,EL 3211 K/R,BH
,,,ELECTRIK,22106002,EL 3211 K/L,BH
,,,STRIKE,,,
,,,,,,
,,,7,22107001,ALBION,BH
,,,KARTU,,,
,,,,,,
,,,8,22108001,FM 1270,BH
,,,J.POWER,,,
,,,,,,
,,22,1,22201001,EPM 0045 SN,BH
,,EDGE PULL,OMGE,,,
,,,,,,
,,23,1,22301001,PHM 2850 H-11-US 32,PS
,,PH KACA,OMGE,22301002,PHM 2850 H-11-US 32 D,PS
,,,,22301003,PHM 2850 S-03-US 32 ,PS
,,,,22301004,PHM 2850 S-03-US 32 D,PS
,,,,22301005,PHM 2850 S-07L-US 32 ,PS
,,,,22301006,PHM 2850 S-04-US 32,PS
,,,,22301007,PHM 2850 S-09-US 32,PS
,,,,22301008,PHM 2850 S-06-US 32,PS
,,,,22301009,PHM 2850 S-10-US 32D,PS
,,,,22301010,PHM 2850 S-05-US 32,PS
,,,,,,
,,24,1,22401001,FLM 109-D64-US32D,PS
,,FLUSH HANDLE /,OMGE,,,
,,DOOR KNOB,,,,
,,,2,22602001,DK 8716 58MM SS,PS
,,,DEKKSON,,,
,,,,,,
,,25,1,22501001,DLM 219-70 SN,SET
,,DIGITAL LOCK,OMGE,22501002,DLM 209A 70 MM SN,SET
,,,,,,
,,26,1,22601001,HSM-ST-EP18-US32D,BH
,,HANDRAIL STUD,OMGE,22601002,HSM-ST-EP15-US32D,BH
,,,,22601003,HSM-ST-EP25-US32D,BH
,,,,22601004,HSM-ST-EP34-US32D,BH
,,,,22601005,HSM-ST-EP23-US32D,BH
,,,,22601006,HSM-ST-EP10-US32D,BH
,,,,22601007,HSM-ST-EP12-US32D,BH
,,,,22601008,HSM-ST-YS17.SC.SBH-US32D+A9,BH
,,,,22601009,HSM-ST.YS05.SC.SGH-US32D,BH
,,,,22601010,HSM-ST-YS24.SC.SBH-US32,BH
,,,,22601011,HSM-ST-EP922 US32D,BH
,,,,22601012,HSM-ST-EP922Q US32D,BH
,,,,22601013,HSM-ST-EP912 US32D,BH
,,,,22601014,HSM-ST-YS24.SC.SBH-US32D,BH
,,,,22601015,HSM-ST-EP912 E US32D,BH
,,,,22601016,HSM-ST-EP912 US33D (TIANG SAJA),BH
,,,,,,
,,,2,22602001,HSL-ST-EP301-US32D,BH
,,,MILANO,,,
,,,,,,
,,27,1,22701001,HSM EC 1801 US32,BH
,,HANDRAIL END CUP,OMGE,,,
,,,,,,
,,28,1,22801001,HSM CN 1506 US32,BH
,,HANDRAIL CONNECTOR,OMGE,22801002,HSM CN 1016 US32D,BH
,,,,22801003,HSM CN 905B US32D,BH
,,,,22801004,HSM CN 908A US32D,BH
,,,,22801005,HSM CN EPC 1 US32D,BH
,,,,22801006,HSM CN EPC 2 US32D (SOLID FULL),BH
,,,,,,
,,29,1,22901001,GSL 701 US32,BH
,,GLASS SPIGOT,MILANO,,,
,,,,,,
,,30,1,23001001,DHM 3001 BH US32D (L),SET
,,DOOR CLOSER HINGE,OMGE,,,
,,,,,,
,,31,1,23101001,SND 080 US32D (EN2),SET
,,DOOR CLOSER PATCH,OMGE,23101002,SND 150W US32D (EN4),SET
,,,,,,
,,32,1,23201001,PEM 301 S,BH
,,PANIC BAR,OMGE,23201002,PEM 300 BLACK-RED,BH
,,,,23201003,PEM 310 BLACK RED,BH
,,,,,,
,,33,1,23301001,PEM OH 015 SILVER L (CW300),BH
,,PANIC OS HANDLE,OMGE,23301002,PEM OH 016 SN (CW3015),BH
,,,,,,
,,34,1,23401001,PEM LC 2810 60X72 SN + CYL PCM S31X31 DBL W/3 RSN,BH
,,BODY PANIC,OMGE,,,
,,,,,,
,,35,1,23501001,DGM TH 8600 4NW CPN,BH
,,HANGER,OMGE,23501002,DGM TH 5500 1,BH
,,,,23501003,DGM TH 8600 2 NWL,BH
